order,movie_imdb_id,movie_name,role,order,name,imdb_id,img,gender,races,poc,note,reference_url,voice,race_reflected
377,770828,Man of Steel,Lois Lane,2,Amy Adams,10736,http://s3.amazonaws.com/brianfoo_art/hollywood/10736.jpg,f,w,0,"English, as well as smaller amounts of Danish, Swiss-German, and Norwegian",http://www.imdb.com/name/nm0010736/bio,0,-1
481,2096673,Inside Out,Joy,1,Amy Poehler,688132,http://s3.amazonaws.com/brianfoo_art/hollywood/688132.jpg,f,w,0,"Irish (from her mother) and English, German, and Portuguese (from her father)",http://www.imdb.com/name/nm0688132/bio,1,0
316,948470,The Amazing Spider-Man,Spider-Man,1,Andrew Garfield,1940449,http://s3.amazonaws.com/brianfoo_art/hollywood/1940449.jpg,m,w,0,"Polish, Russian, Romanian Jew",http://www.imdb.com/name/nm1940449/bio,0,-1
123,441773,Kung Fu Panda,Tigress,3,Angelina Jolie,1401,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1401.jpg,f,w,0,"German and Slovak on her father's side, and French-Canadian, Dutch, German, Czech, and remote Huron",http://www.imdb.com/name/nm0001401/bio,1,0
411,1587310,Maleficent,Maleficent,1,Angelina Jolie,1401,http://s3.amazonaws.com/brianfoo_art/hollywood/1401.jpg,f,w,0,"German and Slovak on her father's side, and French-Canadian, Dutch, German, Czech, and remote Huron",http://www.imdb.com/name/nm0001401/bio,0,-1
244,1014759,Alice in Wonderland (2010),White Queen,4,Anne Hathaway,4266,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/4266.jpg,f,w,0,"mostly Irish descent, along with English, German, and French",http://www.imdb.com/name/nm0004266/bio,0,-1
345,1345836,The Dark Knight Rises,Selina,5,Anne Hathaway,4266,http://s3.amazonaws.com/brianfoo_art/hollywood/4266.jpg,f,w,0,"mostly Irish descent, along with English, German, and French",http://www.imdb.com/name/nm0004266/bio,0,-1
254,800369,Thor,Odin,4,Anthony Hopkins,164,http://s3.amazonaws.com/brianfoo_art/hollywood/164.jpg,m,w,0,half Welsh and half English,http://www.imdb.com/name/nm0000164/bio,0,-1
184,1259571,The Twilight Saga: New Moon,Alice Cullen,4,Ashley Greene,2230865,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/2230865.jpg,f,w,0,,,0,-1
27,382625,The Da Vinci Code,Sophie Neveu,2,Audrey Tautou,851582,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/851582.jpg,f,w,0,French,http://moviecitynews.com/archived/Interviews/tautou.htm,0,-1
126,910970,WALL-E,WALL·E,1,Ben Burtt,123785,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/123785.jpg,m,w,0,,,1,0
41,477347,Night at the Museum,Larry Daley,1,Ben Stiller,1774,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1774.jpg,m,w,0,"His father is of Austrian Jewish and Polish Jewish descent, and his mother was of Irish ancestry",http://www.imdb.com/name/nm0001774/bio,0,-1
111,479952,Madagascar: Escape 2 Africa,Alex,1,Ben Stiller,1774,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1774.jpg,m,w,0,"His father is of Austrian Jewish and Polish Jewish descent, and his mother was of Irish ancestry",http://www.imdb.com/name/nm0001774/bio,1,0
301,1277953,Madagascar 3: Europe's Most Wanted,Alex,1,Ben Stiller,1774,http://s3.amazonaws.com/brianfoo_art/hollywood/1774.jpg,m,w,0,"His father is of Austrian Jewish and Polish Jewish descent, and his mother was of Irish ancestry",http://www.imdb.com/name/nm0001774/bio,1,0
484,2096673,Inside Out,Fear,4,Bill Hader,352778,http://s3.amazonaws.com/brianfoo_art/hollywood/352778.jpg,m,w,0,"German, Danish, Irish, and English",http://www.imdb.com/name/nm0352778/bio,1,0
50,383574,Pirates of the Caribbean: Dead Man's Chest,Davy Jones,5,Bill Nighy,631490,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/631490.jpg,m,w,0,"English, Scottish, Irish",http://www.imdb.com/name/nm0631490/bio,0,-1
118,1099212,Twilight,Charlie Swan,3,Billy Burke,121605,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/121605.jpg,m,w,0,,,0,-1
235,1325004,The Twilight Saga: Eclipse,Charlie Swan,5,Billy Burke,121605,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/121605.jpg,m,w,0,,,0,-1
289,1324999,The Twilight Saga: Breaking Dawn Part 1,Charlie Swan,4,Billy Burke,121605,http://s3.amazonaws.com/brianfoo_art/hollywood/121605.jpg,m,w,0,,,0,-1
312,1217209,Brave,Fergus,2,Billy Connolly,175262,http://s3.amazonaws.com/brianfoo_art/hollywood/175262.jpg,m,w,0,"Irish, Scottish",https://en.wikipedia.org/wiki/Billy_Connolly#Ancestry,1,1
366,1453405,Monsters University,Mike,1,Billy Crystal,345,http://s3.amazonaws.com/brianfoo_art/hollywood/345.jpg,m,w,0,"His family were Jewish immigrants from Russia, Austria, and Lithuania",http://www.imdb.com/name/nm0000345/bio,1,0
179,1049413,Up,Dug,4,Bob Peterson,677037,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/677037.jpg,m,w,0,,,1,0
38,317219,Cars,Sally Carrera,3,Bonnie Hunt,1372,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1372.jpg,f,w,0,"Irish, Belgian/Luxembourgian, Polish",http://www.imdb.com/name/nm0001372/bio,1,0
171,1119646,The Hangover,Phil,1,Bradley Cooper,177896,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/177896.jpg,m,w,0,His father was of Irish descent and his mother is of Italian ancestry,http://www.imdb.com/name/nm0177896/bio,0,-1
281,1411697,The Hangover Part II,Phil,1,Bradley Cooper,177896,http://s3.amazonaws.com/brianfoo_art/hollywood/177896.jpg,m,w,0,His father was of Irish descent and his mother is of Italian ancestry,http://www.imdb.com/name/nm0177896/bio,0,-1
440,2015381,Guardians of the Galaxy,Rocket,5,Bradley Cooper,177896,http://s3.amazonaws.com/brianfoo_art/hollywood/177896.jpg,m,w,0,His father was of Irish descent and his mother is of Italian ancestry,http://www.imdb.com/name/nm0177896/bio,1,0
446,2179136,American Sniper,Chris Kyle,1,Bradley Cooper,177896,http://s3.amazonaws.com/brianfoo_art/hollywood/177896.jpg,m,w,0,His father was of Irish descent and his mother is of Italian ancestry,http://www.imdb.com/name/nm0177896/bio,0,-1
21,348150,Superman Returns,Clark Kent,1,Brandon Routh,746125,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/746125.jpg,m,w,0,"English, Scottish, and German",http://www.imdb.com/name/nm0746125/bio,0,-1
4,454921,The Pursuit of Happyness,Jay Twistle,4,Brian Howe,397788,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/397788.jpg,m,w,0,,,0,-1
18,366548,Happy Feet,Gloria,3,Brittany Murphy,5261,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/5261.jpg,f,w,0,"Her father's ancestry is Italian, and her mother is of Irish and Slovak descent",http://www.imdb.com/name/nm0005261/bio,1,0
234,1325004,The Twilight Saga: Eclipse,Victoria,4,Bryce Dallas Howard,397171,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/397171.jpg,f,w,0,"German, English, Scottish, and Irish",http://www.imdb.com/name/nm0397171/bio,0,-1
492,369610,Jurassic World,Claire,2,Bryce Dallas Howard,397171,http://s3.amazonaws.com/brianfoo_art/hollywood/397171.jpg,f,w,0,"German, English, Scottish, and Irish",http://www.imdb.com/name/nm0397171/bio,0,-1
58,952640,Alvin and the Chipmunks,Claire,3,Cameron Richardson,724460,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/724460.jpg,f,w,0,,,0,-1
42,477347,Night at the Museum,Rebecca,2,Carla Gugino,1303,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1303.jpg,f,w,0,Italian (father) and English-Irish (mother),http://www.imdb.com/name/nm0001303/bio,0,-1
103,451079,Dr. Seuss' Horton Hears a Who!,Kangaroo,3,Carol Burnett,993,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/993.jpg,f,w,0,,,1,0
137,367882,Indiana Jones and the Kingdom of the Crystal Skull,Irina Spalko,2,Cate Blanchett,949,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/949.jpg,f,w,0," English, some Scottish, and remote French",http://www.imdb.com/name/nm0000949/bio,0,-1
456,1661199,Cinderella (2015),Stepmother,1,Cate Blanchett,949,http://s3.amazonaws.com/brianfoo_art/hollywood/949.jpg,f,w,0," English, some Scottish, and remote French",http://www.imdb.com/name/nm0000949/bio,0,-1
73,480249,I Am Legend,Ethan,3,Charlie Tahan,2253071,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/2253071.jpg,m,w,0,,,0,-1
132,448157,Hancock,Mary,2,Charlize Theron,234,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/234.jpg,f,w,0,"Afrikaner (Dutch), as well as French (the origin of her surname), and German",http://www.imdb.com/name/nm0000234/bio,0,-1
347,848228,Marvel's The Avengers,Steve Rogers,2,Chris Evans,262635,http://s3.amazonaws.com/brianfoo_art/hollywood/262635.jpg,m,w,0,"Chris's father is of half German and half Welsh/English/Scottish ancestry, while Chris's mother is of half Italian and half Irish descent",http://www.imdb.com/name/nm0262635/bio,0,-1
431,1843866,Captain America: The Winter Soldier,Steve Rogers,1,Chris Evans,262635,http://s3.amazonaws.com/brianfoo_art/hollywood/262635.jpg,m,w,0,"Chris's father is of half German and half Welsh/English/Scottish ancestry, while Chris's mother is of half Italian and half Irish descent",http://www.imdb.com/name/nm0262635/bio,0,-1
