movie_id,movie_name,movie_imdb_id,role,order,name,imdb_id,img,gender,races,note,reference_url,voice
9,Transformers: Dark of the Moon,1399103,cast,5,Tyrese Gibson,879085,http://s3.amazonaws.com/brianfoo_art/hollywood/879085.jpg,m,b,,http://www.imdb.com/name/nm0879085/awards,0
10,Harry Potter and the Deathly Hallows Part 2,1201607,cast,1,Daniel Radcliffe,705356,http://s3.amazonaws.com/brianfoo_art/hollywood/705356.jpg,m,w,"His father is from a Northern Irish Protestant background, while his mother was born in South Africa, to a Jewish family (from Lithuania, Poland, Russia, and Germany)",http://www.imdb.com/name/nm0705356/bio,0
10,Harry Potter and the Deathly Hallows Part 2,1201607,cast,2,Rupert Grint,342488,http://s3.amazonaws.com/brianfoo_art/hollywood/342488.jpg,m,w,English and 1/8th Irish,http://www.imdb.com/name/nm0342488/bio,0
10,Harry Potter and the Deathly Hallows Part 2,1201607,cast,3,Emma Watson,914612,http://s3.amazonaws.com/brianfoo_art/hollywood/0914612.jpg,f,w,English,http://www.imdb.com/name/nm0914612/bio,0
10,Harry Potter and the Deathly Hallows Part 2,1201607,cast,4,Helena Bonham Carter,307,http://s3.amazonaws.com/brianfoo_art/hollywood/307.jpg,f,"w,w,w,h","Father was of English ancestry; maternal grandfather was a half-Jewish/half-Catholic Spanish; maternal grandmother from a Jewish family (from Germany, Austria, France, Bohemia, and Ukraine)",http://www.imdb.com/name/nm0000307/bio,0
10,Harry Potter and the Deathly Hallows Part 2,1201607,cast,5,Ralph Fiennes,146,http://s3.amazonaws.com/brianfoo_art/hollywood/146.jpg,m,w,"He is of English, Irish, and Scottish origin",http://www.imdb.com/name/nm0000146/bio,0
11,Madagascar 3: Europe's Most Wanted,1277953,cast,1,Ben Stiller,1774,http://s3.amazonaws.com/brianfoo_art/hollywood/1774.jpg,m,w,"His father is of Austrian Jewish and Polish Jewish descent, and his mother was of Irish ancestry",http://www.imdb.com/name/nm0001774/bio,1
11,Madagascar 3: Europe's Most Wanted,1277953,cast,2,Chris Rock,1674,http://s3.amazonaws.com/brianfoo_art/hollywood/1674.jpg,m,b,,https://en.wikipedia.org/wiki/Chris_Rock#Personal_life,1
11,Madagascar 3: Europe's Most Wanted,1277953,cast,3,David Schwimmer,1710,http://s3.amazonaws.com/brianfoo_art/hollywood/1710.jpg,m,w,"Ashkenazi Jewish (from Ukraine, Austria, Russia, Germany, and Belarus)",http://www.imdb.com/name/nm0001710/bio,1
11,Madagascar 3: Europe's Most Wanted,1277953,cast,4,Jada Pinkett Smith,586,http://s3.amazonaws.com/brianfoo_art/hollywood/586.jpg,f,b,Her father is of African-American descent and her mother is of Afro-Caribbean ancestry (from Barbados and Jamaica),http://www.imdb.com/name/nm0000586/bio,1
11,Madagascar 3: Europe's Most Wanted,1277953,cast,5,Sacha Baron Cohen,56187,http://s3.amazonaws.com/brianfoo_art/hollywood/56187.jpg,m,w,"His father, born in Wales and raised in England, is of Eastern European Jewish descent, while his mother was born in Israel, to German Jewish parents",http://www.imdb.com/name/nm0056187/bio,1
12,Ted,1637725,cast,1,Mark Wahlberg,242,http://s3.amazonaws.com/brianfoo_art/hollywood/242.jpg,m,w,"Irish, Swedish (from his paternal grandfather), and more distant French-Canadian and English",http://www.imdb.com/name/nm0000242/bio,0
12,Ted,1637725,cast,2,Mila Kunis,5109,http://s3.amazonaws.com/brianfoo_art/hollywood/5109.jpg,f,w,Ashkenazi Jewish,http://www.imdb.com/name/nm0005109/bio,0
12,Ted,1637725,cast,3,Seth MacFarlane,532235,http://s3.amazonaws.com/brianfoo_art/hollywood/532235.jpg,m,w,"English, Scottish, and Irish",http://www.imdb.com/name/nm0532235/bio,1
12,Ted,1637725,cast,4,Joel McHale,570364,http://s3.amazonaws.com/brianfoo_art/hollywood/570364.jpg,m,w,"Norwegian, Finnish, and English",http://www.imdb.com/name/nm0570364/bio,0
12,Ted,1637725,cast,5,Giovanni Ribisi,610,http://s3.amazonaws.com/brianfoo_art/hollywood/610.jpg,m,w,"Italian (from his paternal grandfather), English, and German ",http://www.imdb.com/name/nm0000610/bio,0
13,Brave,1217209,cast,1,Kelly Macdonald,531808,http://s3.amazonaws.com/brianfoo_art/hollywood/531808.jpg,f,w,Scottish,http://www.imdb.com/name/nm0531808/bio,1
13,Brave,1217209,cast,2,Billy Connolly,175262,http://s3.amazonaws.com/brianfoo_art/hollywood/175262.jpg,m,w,"Irish, Scottish",https://en.wikipedia.org/wiki/Billy_Connolly#Ancestry,1
13,Brave,1217209,cast,3,Emma Thompson,668,http://s3.amazonaws.com/brianfoo_art/hollywood/668.jpg,f,w,"Scottish, English",http://www.imdb.com/name/nm0000668/bio,1
13,Brave,1217209,cast,4,Julie Walters,910278,http://s3.amazonaws.com/brianfoo_art/hollywood/910278.jpg,f,w,"Irish, English",http://www.imdb.com/name/nm0910278/bio,1
13,Brave,1217209,cast,5,Robbie Coltrane,1059,http://s3.amazonaws.com/brianfoo_art/hollywood/1059.jpg,m,w,Scottish,https://en.wikipedia.org/wiki/Robbie_Coltrane,1
14,The Amazing Spider-Man,948470,cast,1,Andrew Garfield,1940449,http://s3.amazonaws.com/brianfoo_art/hollywood/1940449.jpg,m,w,"Polish, Russian, Romanian Jew",http://www.imdb.com/name/nm1940449/bio,0
14,The Amazing Spider-Man,948470,cast,2,Emma Stone,1297015,http://s3.amazonaws.com/brianfoo_art/hollywood/1297015.jpg,f,w,"Swedish (from her paternal grandfather), English, German, Scottish, and Irish",http://www.imdb.com/name/nm1297015/bio,0
14,The Amazing Spider-Man,948470,cast,3,Rhys Ifans,406975,http://s3.amazonaws.com/brianfoo_art/hollywood/406975.jpg,m,w,Welsh,http://www.imdb.com/name/nm0406975/bio,0
14,The Amazing Spider-Man,948470,cast,4,Denis Leary,1459,http://s3.amazonaws.com/brianfoo_art/hollywood/1459.jpg,m,w,Irish,http://www.imdb.com/name/nm0001459/bio,0
14,The Amazing Spider-Man,948470,cast,5,Martin Sheen,640,http://s3.amazonaws.com/brianfoo_art/hollywood/640.jpg,m,"w,h","Irish, Spanish",http://www.imdb.com/name/nm0000640/bio,0
