artist,song,album,url,score
Green Day,Angel Blue,¡Uno!,http://genius.com/Green-day-angel-blue-lyrics,4
Green Day,Rusty James,¡Uno!,http://genius.com/Green-day-rusty-james-lyrics,4
Green Day,Oh Love,¡Uno!,http://genius.com/Green-day-oh-love-lyrics,4
Green Day,Geek Stink Breath,Insomniac,http://genius.com/Green-day-geek-stink-breath-lyrics,4
Green Day,Stray Heart,¡Dos!,http://genius.com/Green-day-stray-heart-lyrics,4
Green Day,Give Me Novacaine,American Idiot,http://genius.com/Green-day-give-me-novacaine-lyrics,4
Green Day,Whatsername,American Idiot,http://genius.com/Green-day-whatsername-lyrics,4
Green Day,¿Viva la Gloria? (Little Girl),21st Century Breakdown,http://genius.com/Green-day-viva-la-gloria-little-girl-lyrics,4
Green Day,1000 Hours,"1,039/Smoothed Out Slappy Hours",http://genius.com/Green-day-1000-hours-lyrics,4
Green Day,Loss Of Control,¡Uno!,http://genius.com/Green-day-loss-of-control-lyrics,3
Green Day,Walking Alone,Nimrod,http://genius.com/Green-day-walking-alone-lyrics,3
Mariah Carey,Last Kiss,E=MC²,http://genius.com/Mariah-carey-last-kiss-lyrics,23
Mariah Carey,Last Night a DJ Saved My Life,Glitter,http://genius.com/Mariah-carey-last-night-a-dj-saved-my-life-lyrics,11
Mariah Carey,Heartbreaker (Remix),Rainbow,http://genius.com/Mariah-carey-heartbreaker-remix-lyrics,7
Mariah Carey,Standing O,Memoirs Of An Imperfect Angel,http://genius.com/Mariah-carey-standing-o-lyrics,7
Mariah Carey,One and Only,The Emancipation of Mimi,http://genius.com/Mariah-carey-one-and-only-lyrics,7
Mariah Carey,Clown,Charmbracelet,http://genius.com/Mariah-carey-clown-lyrics,6
Mariah Carey,Betcha Gon' Know (The Prologue),Memoirs Of An Imperfect Angel,http://genius.com/Mariah-carey-betcha-gon-know-the-prologue-lyrics,4
Mariah Carey,Camouflage,Me. I Am Mariah… The Elusive Chanteuse,http://genius.com/Mariah-carey-camouflage-lyrics,4
Mariah Carey,If We,Glitter,http://genius.com/Mariah-carey-if-we-lyrics,4
Mariah Carey,Joy Ride,The Emancipation of Mimi,http://genius.com/Mariah-carey-joy-ride-lyrics,4
Mariah Carey,Don't Forget About Us,The Emancipation of Mimi,http://genius.com/Mariah-carey-dont-forget-about-us-lyrics,4
Mariah Carey,Miss You,Charmbracelet,http://genius.com/Mariah-carey-miss-you-lyrics,4
Mariah Carey,The Roof,Butterfly,http://genius.com/Mariah-carey-the-roof-lyrics,4
Mariah Carey,Heartbreaker,Rainbow,http://genius.com/Mariah-carey-heartbreaker-lyrics,3
Mariah Carey,After Tonight,Rainbow,http://genius.com/Mariah-carey-after-tonight-lyrics,3
Mariah Carey,Make It Look Good,Me. I Am Mariah… The Elusive Chanteuse,http://genius.com/Mariah-carey-make-it-look-good-lyrics,3
Mariah Carey,Meteorite,Me. I Am Mariah… The Elusive Chanteuse,http://genius.com/Mariah-carey-meteorite-lyrics,3
Mariah Carey,All In Your Mind,Mariah Carey,http://genius.com/Mariah-carey-all-in-your-mind-lyrics,3
Mariah Carey,Loverboy (Remix),Glitter,http://genius.com/Mariah-carey-loverboy-remix-lyrics,3
Mariah Carey,All My Life,Glitter,http://genius.com/Mariah-carey-all-my-life-lyrics,3
Jay Z,Pussy,The Best of Both Worlds,http://genius.com/Jay-z-pussy-lyrics,21
Jay Z,Do It Again (Put Ya Hands Up),Vol. 3... Life and Times of S. Carter,http://genius.com/Jay-z-do-it-again-put-ya-hands-up-lyrics,14
Jay Z,Is That Yo Bitch?,Vol. 3... Life and Times of S. Carter,http://genius.com/Jay-z-is-that-yo-bitch-lyrics,12
Jay Z,Face Off,"In My Lifetime, Vol. 1",http://genius.com/Jay-z-face-off-lyrics,9
Jay Z,Party Life,American Gangster,http://genius.com/Jay-z-party-life-lyrics,8
Jay Z,Coming of Age,Reasonable Doubt,http://genius.com/Jay-z-coming-of-age-lyrics,7
Jay Z,Picasso Baby,Magna Carta... Holy Grail,http://genius.com/Jay-z-picasso-baby-lyrics,7
Jay Z,The Watcher 2,The Blueprint 2: The Gift & the Curse,http://genius.com/Jay-z-the-watcher-2-lyrics,6
Jay Z,Reservoir Dogs,Vol. 2... Hard Knock Life,http://genius.com/Jay-z-reservoir-dogs-lyrics,5
